"Unique ID";"Name";"Nation";"Division";"Rep";"Av Age";"Balance";"Trn Budget S";"Trn Budget R";"Wage Budget";"Status";"TF";"YF";"JC";"Stad Cap";"Av Att";"Rating";"Pot Rating"
"318.918";"Chapadinha";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.050";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"6";"8.000";"893";"0,0%";"0,0%"
"301.304";"Chapecoense";"Brazil";"Brasileirão Série B Betano";"5.650";"26,1";"-400.570";"48.260";"48.260";"35.820";"Professional";"12";"8";"9";"20.089";"6.000";"68,3%";"72,0%"
"314.600";"Cianorte";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"3.100";"25,0";"-4.590";"0";"0";"0";"Professional";"9";"5";"7";"4.000";"1.648";"64,7%";"69,6%"
"309.767";"CIP (SC)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"19.152.072";"Civilsan";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"309.650";"Clíper";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"950";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"3";"44.000";"600";"0,0%";"0,0%"
"314.313";"Clube Astréa";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"19.152.071";"Coenge";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"19.143.263";"Coimbra";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.100";"21,7";"0";"0";"0";"0";"Professional";"3";"3";"2";"23.018";"1.350";"16,4%";"17,7%"
"314.328";"Colatina (ES)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"1";"1";"1";"10.000";"750";"0,0%";"0,0%"
"19.151.901";"Colatina SE";"Brazil";"Eerste klasse A";"400";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"3";"10.000";"200";"0,0%";"0,0%"
"313.337";"Colinas";"Brazil";"Eerste klasse A";"500";"0,0";"0";"0";"0";"0";"Professional";"8";"4";"6";"5.000";"750";"0,0%";"0,0%"
"301.117";"Colo-Colo (BA)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"950";"0,0";"0";"0";"0";"0";"Professional";"8";"7";"7";"5.379";"1.600";"0,0%";"0,0%"
"19.152.066";"Colombo (DF)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"2.000.118.713";"Colorado Caieiras";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"650";"0,0";"0";"0";"0";"0";"Professional";"1";"2";"2";"6.195";"150";"0,0%";"0,0%"
"309.777";"Colorado EC (PR)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"314.688";"Comercial (ES)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"3";"5.000";"850";"0,0%";"0,0%"
"301.181";"Comercial (MS)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.050";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"6";"45.000";"5.000";"0,0%";"0,0%"
"313.366";"Comercial (PI)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"950";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"4";"8.000";"700";"0,0%";"0,0%"
"309.786";"Comercial (PR)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"3";"4";"3";"6.000";"800";"0,0%";"0,0%"
"301.336";"Comercial (SP)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.900";"28,6";"0";"0";"0";"0";"Professional";"6";"6";"5";"18.277";"2.500";"50,8%";"53,3%"
"312.327";"Comercial de Joaçaba";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"2.000.214.116";"Comercial Tietê";"Brazil";"Eerste klasse A";"300";"0,0";"0";"0";"0";"0";"Amateur";"3";"3";"3";"4.500";"100";"0,0%";"0,0%"
"2.000.240.525";"Comercial TL";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"500";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"2";"6.200";"100";"0,0%";"0,0%"
"19.281.310";"Conceição (PE)";"Brazil";"Eerste klasse A";"50";"0,0";"0";"0";"0";"0";"Amateur";"2";"2";"3";"1.000";"50";"0,0%";"0,0%"
"8.832.365";"Concórdia";"Brazil";"Brasileirão Série D";"2.200";"25,9";"0";"0";"0";"0";"Professional";"3";"2";"3";"5.000";"600";"62,2%";"65,6%"
"19.044.044";"Confiança (RJ)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"301.323";"Confiança (SE)";"Brazil";"Brasileirão Série C";"4.600";"27,4";"164.420";"0";"0";"14.960";"Professional";"9";"6";"7";"15.575";"4.427";"66,2%";"69,8%"
"314.291";"Confiança de Sapé";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"800";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"5";"1.500";"800";"0,0%";"0,0%"
"19.164.274";"Conilon";"Brazil";"Eerste klasse A";"400";"0,0";"0";"0";"0";"0";"Professional";"4";"5";"5";"2.664";"300";"0,0%";"0,0%"
"19.107.394";"Contagem";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"800";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"4";"2.000";"200";"0,0%";"0,0%"
"19.138.845";"Cordino";"Brazil";"Brasileirão Série D";"1.550";"33,6";"20";"0";"0";"0";"Professional";"3";"3";"4";"5.000";"401";"28,5%";"29,0%"
"319";"Corinthians";"Brazil";"Brasileirão Assaí";"7.350";"25,3";"2.213.880";"8.043.600";"8.043.600";"316.640";"Professional";"18";"12";"12";"47.605";"38.433";"76,0%";"79,1%"
"2.000.003.894";"Corinthians de São Bernardo do Campo";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"314.773";"Corinthians PP";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"309.629";"Corintians de Caicó";"Brazil";"Eerste klasse A";"400";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"3";"3.000";"1.100";"0,0%";"0,0%"
"313.301";"Corisabbá";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.100";"26,0";"0";"0";"0";"0";"Professional";"3";"2";"2";"5.500";"1.200";"11,0%";"11,4%"
"104.776";"Coritiba";"Brazil";"Brasileirão Assaí";"6.050";"25,7";"1.835.190";"965.230";"965.230";"93.460";"Professional";"14";"12";"12";"40.502";"21.466";"73,1%";"75,4%"
"309.621";"Coritiba (SE)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"650";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"3";"10.000";"1.000";"0,0%";"0,0%"
"313.787";"Coroatá";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"4";"2";"4";"5.000";"700";"0,0%";"0,0%"
"313.901";"Corumbaense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.000";"25,0";"0";"0";"0";"0";"Professional";"4";"2";"4";"10.000";"800";"16,8%";"18,3%"
"8.832.327";"Coruripe";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.600";"25,7";"0";"0";"0";"0";"Professional";"8";"4";"5";"7.000";"1.103";"51,5%";"55,3%"
"19.036.102";"Costa Rica (MS)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"2.000";"27,2";"0";"0";"0";"0";"Professional";"3";"2";"3";"5.000";"200";"22,5%";"23,4%"
"314.767";"Costeira";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"4";"2";"3";"15.000";"600";"0,0%";"0,0%"
"313.325";"Cotingüiba";"Brazil";"Eerste klasse A";"400";"0,0";"0";"0";"0";"0";"Professional";"4";"2";"3";"15.575";"780";"0,0%";"0,0%"
"314.973";"Coxim";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.050";"0,0";"0";"0";"0";"0";"Professional";"7";"4";"6";"3.000";"700";"0,0%";"0,0%"
"311.002";"CR Guará";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"5";"3";"3";"12.000";"1.200";"0,0%";"0,0%"
"303.018";"CRAC";"Brazil";"Brasileirão Série D";"2.300";"27,2";"10";"0";"0";"0";"Professional";"8";"7";"7";"8.500";"2.137";"62,9%";"66,2%"
"2.108.162";"Crateús";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"850";"0,0";"0";"0";"0";"0";"Professional";"5";"2";"5";"5.000";"950";"0,0%";"0,0%"
"318.864";"Crato (CE)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.150";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"3";"10.000";"900";"0,0%";"0,0%"
"301.102";"CRB";"Brazil";"Brasileirão Série B Betano";"5.550";"26,4";"34.170";"24.130";"24.130";"34.080";"Professional";"9";"9";"7";"20.000";"5.301";"70,4%";"73,8%"
"320";"Criciúma";"Brazil";"Brasileirão Série B Betano";"5.950";"28,9";"793.310";"321.740";"321.740";"57.560";"Professional";"11";"9";"8";"19.225";"5.000";"71,4%";"73,5%"
"313.254";"Cristal (AP)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"5";"3";"4";"13.680";"700";"0,0%";"0,0%"
"19.354.772";"Cruz Alta";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"600";"0,0";"0";"0";"0";"0";"Professional";"5";"5";"6";"1.200";"150";"0,0%";"0,0%"
"321";"Cruzeiro";"Brazil";"Brasileirão Assaí";"6.700";"25,3";"2.378.360";"2.413.080";"2.413.080";"271.690";"Professional";"17";"11";"12";"61.846";"29.667";"75,2%";"78,8%"
"301.121";"Cruzeiro (BA)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"4";"3";"3";"12.000";"800";"0,0%";"0,0%"
"19.023.490";"Cruzeiro (DF)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"650";"0,0";"0";"0";"0";"0";"Professional";"2";"3";"3";"2.000";"213";"0,0%";"0,0%"
"313.312";"Cruzeiro (RO)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"5";"2";"4";"5.000";"1.060";"0,0%";"0,0%"
"309.736";"Cruzeiro (RS)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.250";"0,0";"0";"0";"0";"0";"Professional";"7";"7";"7";"16.000";"1.000";"0,0%";"0,0%"
"19.216.006";"Cruzeiro de Arapiraca";"Brazil";"Brasileirão Série D";"1.400";"29,0";"0";"0";"0";"0";"Professional";"5";"5";"6";"12.500";"200";"50,4%";"51,6%"
"19.041.084";"Cruzeiro de Itaporanga";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"600";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"5";"3.000";"200";"0,0%";"0,0%"
"313.575";"Cruzeiro do Sul (AM)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"19.152.084";"Cruzeiro do Sul (DF)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"107.210";"CSA";"Brazil";"Brasileirão Série C";"5.050";"27,9";"137.230";"8.040";"8.040";"19.400";"Professional";"8";"6";"6";"20.000";"10.700";"67,4%";"70,8%"
"313.251";"CSE";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.450";"28,4";"0";"0";"0";"0";"Professional";"2";"2";"4";"7.000";"1.976";"63,3%";"67,7%"
"19.009.945";"CSP";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.250";"23,6";"0";"0";"0";"0";"Professional";"5";"6";"5";"35.000";"500";"50,0%";"55,2%"
"19.152.078";"CSU";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"19.174.915";"CTE Colatina";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"950";"0,0";"0";"0";"0";"0";"Professional";"6";"7";"7";"10.000";"250";"0,0%";"0,0%"
"318.915";"Cuiabá";"Brazil";"Brasileirão Assaí";"6.100";"26,1";"2.411.160";"1.608.720";"1.608.720";"119.750";"Professional";"15";"13";"11";"44.000";"14.780";"73,7%";"76,2%"
"19.341.592";"Decisão";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"900";"0,0";"0";"0";"0";"0";"Professional";"5";"5";"7";"5.000";"500";"0,0%";"0,0%"
"19.152.081";"Defelê";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"19.014.100";"Democrata (BA)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"32.157";"250";"0,0%";"0,0%"
"301.184";"Democrata GV";"Brazil";"Brasileirão Série D";"2.850";"28,0";"0";"0";"0";"0";"Professional";"6";"7";"3";"8.675";"3.000";"62,9%";"65,8%"
"311.869";"Democrata SL";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"2.000";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"6";"18.870";"1.600";"0,0%";"0,0%"
"104.975";"Desportiva";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.800";"26,0";"0";"0";"0";"0";"Professional";"10";"9";"7";"7.700";"5.000";"63,1%";"68,1%"
"19.307.964";"Desportiva (PA)";"Brazil";"Eerste klasse A";"300";"0,0";"0";"0";"0";"0";"Professional";"5";"5";"4";"6.500";"200";"0,0%";"0,0%"
"314.208";"Desportiva (RN)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"19.295.789";"Desportiva Borborema";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"311.953";"Desportiva Guarabira";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"750";"0,0";"0";"0";"0";"0";"Professional";"4";"2";"2";"4.000";"800";"0,0%";"0,0%"
"19.255.066";"Desportivo Aliança";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.000";"0,0";"0";"0";"0";"0";"Professional";"6";"6";"5";"4.000";"200";"0,0%";"0,0%"
"19.046.641";"Desportivo Brasil";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.300";"26,3";"0";"0";"0";"0";"Professional";"17";"14";"10";"6.160";"300";"62,5%";"67,3%"
"319.121";"Dimensão Saúde";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"900";"0,0";"0";"0";"0";"0";"Professional";"5";"2";"4";"4.000";"900";"0,0%";"0,0%"
"313.348";"Dínamo (AL)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"500";"0,0";"0";"0";"0";"0";"Professional";"5";"2";"4";"4.000";"850";"0,0%";"0,0%"
"19.152.067";"Dínamo (DF)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"2.000.063.304";"Dínamo Araxá (MG)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"10.000";"250";"0,0%";"0,0%"
"19.075.749";"Doce Mel";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.400";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"2";"3.000";"500";"0,0%";"0,0%"
"313.224";"Dom Bosco";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.400";"24,0";"0";"0";"0";"0";"Professional";"4";"2";"2";"44.000";"500";"16,7%";"17,9%"
"313.317";"Dorense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.150";"36,0";"0";"0";"0";"0";"Professional";"3";"2";"3";"4.000";"1.200";"11,9%";"11,9%"
"314.721";"Douradense (MS)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"2.000.079.933";"Dourados";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.300";"27,2";"0";"0";"0";"0";"Professional";"6";"6";"4";"30.000";"200";"32,9%";"35,1%"
"19.258.282";"Doze";"Brazil";"Eerste klasse A";"600";"0,0";"0";"0";"0";"0";"Professional";"10";"10";"6";"3.000";"100";"0,0%";"0,0%"
"19.007.826";"Duque de Caxias";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.400";"0,0";"0";"0";"0";"0";"Professional";"10";"7";"5";"7.000";"65";"0,0%";"0,0%"
"311.097";"Duquecaxiense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"300";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"2";"4.000";"300";"0,0%";"0,0%"
"312.303";"EC Paraná de Londrina (PR)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"19.339.799";"EC Resende";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"450";"0,0";"0";"0";"0";"0";"Professional";"4";"5";"5";"4.600";"200";"0,0%";"0,0%"
"19.179.979";"EC São Bernardo";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.500";"24,6";"0";"0";"0";"0";"Professional";"5";"7";"7";"15.759";"200";"39,5%";"42,8%"
"19.019.863";"EC Sírio (SP)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"19.014.171";"ECO";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"4";"17.430";"234";"0,0%";"0,0%"
"318.893";"ECUS";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"600";"0,0";"0";"0";"0";"0";"Professional";"4";"5";"5";"5.034";"800";"0,0%";"0,0%"
"2.000.099.932";"Egipciense";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"19.326.202";"Elite (RS)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"800";"0,0";"0";"0";"0";"0";"Professional";"5";"6";"6";"7.000";"150";"0,0%";"0,0%"
"312.306";"Energia Circular (BA)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"320.676";"Engenho de Dentro";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"311.113";"Entrerriense";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"4";"3";"4";"10.000";"1.500";"0,0%";"0,0%"
"2.000.152.152";"ESMAC";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"600";"0,0";"0";"0";"0";"0";"Professional";"2";"2";"3";"45.007";"100";"0,0%";"0,0%"
"19.088.042";"Espigão";"Brazil";"Eerste klasse A";"400";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"6";"2.500";"200";"0,0%";"0,0%"
"19.088.838";"Espírito Santo FC";"Brazil";"Eerste klasse A";"500";"0,0";"0";"0";"0";"0";"Professional";"7";"2";"5";"21.000";"200";"0,0%";"0,0%"
"318.868";"Espírito Santo SE";"Brazil";"Eerste klasse A";"900";"0,0";"0";"0";"0";"0";"Professional";"6";"5";"5";"10.000";"1.200";"0,0%";"0,0%"
"314.962";"Esporte";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"750";"0,0";"0";"0";"0";"0";"Professional";"5";"2";"4";"11.000";"600";"0,0%";"0,0%"
"19.341.236";"Esporte Limoeiro";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"650";"0,0";"0";"0";"0";"0";"Professional";"6";"7";"6";"5.000";"500";"0,0%";"0,0%"
"19.000.203";"Esportiva Guaratinguetá";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"19.027.434";"Esportiva Itapirense";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.200";"31,8";"0";"0";"0";"0";"Professional";"4";"3";"3";"5.652";"400";"34,3%";"35,6%"
"301.268";"Esportivo";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"2.350";"0,0";"0";"0";"0";"0";"Professional";"8";"7";"6";"15.000";"2.500";"0,0%";"0,0%"
"19.219.019";"Esportivo (MG)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"6";"6";"6";"13.000";"100";"0,0%";"0,0%"
"313.327";"Estanciano";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.000";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"3";"7.000";"700";"0,0%";"0,0%"
"314.316";"Estrela do Mar";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"302.108";"Estrela do Norte";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.350";"29,9";"0";"0";"0";"0";"Professional";"2";"2";"6";"6.000";"2.000";"62,1%";"65,0%"
"310.908";"Estrela Potiguar";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"750";"0,0";"0";"0";"0";"0";"Professional";"4";"3";"3";"3.000";"700";"0,0%";"0,0%"
"19.005.117";"Estudantes";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"5";"6";"6";"5.000";"2.112";"0,0%";"0,0%"
"313.283";"Expressinho";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"4";"2";"3";"11.429";"350";"0,0%";"0,0%"
"309.764";"Externato (SC)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"2.000.106.888";"Falcon (SE)";"Brazil";"Brasileirão Série D";"1.550";"29,2";"0";"0";"0";"0";"Professional";"4";"4";"3";"15.575";"200";"54,9%";"57,3%"
"311.867";"Farroupilha";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"3";"3";"3";"5.500";"1.500";"0,0%";"0,0%"
"309.651";"Fast Clube";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.100";"0,0";"0";"0";"0";"0";"Professional";"8";"8";"6";"11.000";"2.000";"0,0%";"0,0%"
"19.072.706";"FC Cascavel";"Brazil";"Brasileirão Série D";"3.450";"28,1";"0";"0";"0";"0";"Professional";"6";"8";"5";"28.125";"5.000";"65,2%";"68,4%"
"19.220.676";"FC Marau";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"400";"0,0";"0";"0";"0";"0";"Professional";"5";"5";"5";"2.000";"200";"0,0%";"0,0%"
"2.000.029.587";"FC Pará";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"2";"1";"1";"45.007";"200";"0,0%";"0,0%"
"314.314";"Felipéia (PB)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"19.294.426";"Femar";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"550";"0,0";"0";"0";"0";"0";"Professional";"6";"6";"5";"2.000";"200";"0,0%";"0,0%"
"313.780";"Fênix (MA)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"318.895";"Fernandópolis";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"650";"0,0";"0";"0";"0";"0";"Professional";"4";"3";"3";"9.188";"800";"0,0%";"0,0%"
"19.005.348";"Ferrocarril (RS)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"302.144";"Ferroviária (SP)";"Brazil";"Brasileirão Série D";"4.100";"26,9";"83.730";"0";"0";"0";"Professional";"12";"13";"10";"20.421";"2.000";"64,7%";"69,2%"
"2.000.135.793";"Ferroviária de Pindamonha";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"313.441";"Ferroviário (AL)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"4";"2";"4";"4.000";"600";"0,0%";"0,0%"
"301.129";"Ferroviário (CE)";"Brazil";"Brasileirão Série D";"4.250";"28,4";"0";"0";"0";"0";"Professional";"7";"7";"7";"63.903";"2.307";"64,1%";"67,5%"
"313.361";"Ferroviário (MA)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"2";"2";"3";"11.429";"800";"0,0%";"0,0%"
"19.302.103";"Ferroviário (PI)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"650";"0,0";"0";"0";"0";"0";"Professional";"5";"4";"4";"4.700";"300";"0,0%";"0,0%"
"309.784";"Ferroviário (PR)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"1";"1";"1";"0";"250";"0,0%";"0,0%"
"314.078";"Ferroviário (RO)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"2";"2";"2";"5.000";"400";"0,0%";"0,0%"
"309.758";"Ferroviário (SC)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"301.232";"Ferroviário de Serra";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"4";"5.000";"900";"0,0%";"0,0%"
"319.154";"Ferroviário do Cabo";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"700";"0,0";"0";"0";"0";"0";"Professional";"4";"2";"4";"5.459";"800";"0,0%";"0,0%"
"319.152";"Ferroviário do Recife";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"3";"2.000";"600";"0,0%";"0,0%"
"19.168.612";"FF Sport";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"800";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"4";"2.000";"200";"0,0%";"0,0%"
