1989;;;Colocações finais;;1990;;;;;1991;;;;;1992;;;;;1993;;;;;1994;;;;;;;;;
Americano;;Melhor marcador;Washington (Ponte Preta) – 11 gols;;Minas Gerais: América-MG, Atlético-MG e Cruzeiro.;;;Estatísticas;;;Anapolina;Internacional;Estatísticas;;;Minas Gerais (3): Atlético Mineiro, Cruzeiro (apenas a filial URT jogou, o time principal estava na Libertadores) e Caldense.;;;Estatísticas;;;;Coruripe;Estatísticas;;;4º; Flamengo;1 780;Estatísticas;;;;
Anapolina;;Maior goleada;São Paulo 10 – 0 Botafogo-PB;;Espírito Santo: Alegrense. [1, 2, 3, 4];;;Melhor marcador;Deivid (Corinthians) – 13 gols;;Atlético Cajazeirense;Ipatinga;Melhor marcador;Nonato (Bahia) – 9 gols;;Espírito Santo (2): Serra e CTE Colatina. [1, 3, 4, 5];;;Melhor marcador;8 gols:;; Amapá;Ypiranga-AP;Melhor marcador;Fred (Cruzeiro) – 14 gols;;5º; Atlético Mineiro;1 765;Melhor marcador;Valdiram (Vasco da Gama) – 7 gols;;;
ASA;;(diferença);São Paulo;;Região Sul;;;Maior goleada;Vitória 6 – 0 CENE;;Atlético Mineiro;Iraty;Maior goleada;Cruzeiro 7 – 0 Coríntians (RN;;Região Sul;;;;Alex Alves (Botafogo);; Amazonas;Grêmio Coariense;Maior goleada;Cruzeiro 7 – 0 Sergipe;;9º; Cruzeiro;1 657;Maior goleada;Vasco da Gama 7–0 Botafogo-PB;;;
Athletico Paranaense;;;;;Rio Grande do Sul: Caxias, Internacional e Juventude.;;;(diferença);;;Atlético Paranaense;Itabaiana;(diferença);;;Rio Grande do Sul (4): Grêmio, Internacional, 15 de Novembro e Juventude.;;;;Dauri (15 de Novembro);;;São Raimundo;(diferença);;;10º; Santos;1 528;(diferença);;;;
Atlético Mineiro;;;;;Paraná: Coritiba, Londrina e Paraná.;;;;;;Atlético Roraima;Ituano;;;;Paraná (3): Paranavaí, Londrina e Prudentópolis.;;;Maiores goleadas;Santos-AP 0–5 Batatais;; Bahia;Bahia;;;;11º; Fluminense;1 418;;;;;
Bahia;;;;;Santa Catarina: Criciúma, Figueirense e Joinville. [1, 2, 3];;;;;;Bahia;Moto Club;;;;Santa Catarina (2): Criciúma e Figueirense. [1, 2, 3, 4];;;(diferença);;;;Vitória;;;;12º; Botafogo;1 390;;;;;
Botafogo;;;;;Região Nordeste;;;;;;Bangu;Nacional-AM;;;;Região Nordeste;;;;Paraná 7–2 River-PI;; Ceará;Ceará;;;;13º; Guarani;1 381;;;;;
Botafogo-PB;;;;;Bahia: Bahia, Juazeiro e Vitória.;;;;;;Botafogo-PB;Náutico;;;;Bahia (2): Vitória e Bahia.;;;;;;;Fortaleza;;;;14º; Coritiba;1 285;;;;;
Cachoeiro;;;;;Pernambuco: Náutico, Santa Cruz e Sport.;;;;;;Botafogo;Operário-MT;;;;Pernambuco (3): Sport, Santa Cruz e Náutico.;;;;;; Distrito Federal;Brasiliense;;;;UF;Clube;;;;;;
Castanhal;;;;;Ceará: Ceará e Fortaleza.;;;;;;Caldense;Palmeiras;;;;Ceará (2): Fortaleza e Ferroviário.;;;;;;;CFZ;;;; Acre;Rio Branco-AC;;;;;;
Caxias;;;;;Rio Grande do Norte: América-RN e Corinthians-RN.;;;;;;Ceará;Paraná;;;;Rio Grande do Norte (2): América de Natal e São Gonçalo.;;;;;; Espírito Santo;Estrela do Norte;;;; Alagoas;ASA;;;;;;
Ceará;;;;;Alagoas: ASA e CSA.;;;;;;CENE;Pelotas;;;;Alagoas (2): ASA e CRB.;;;;;;;Serra;;;;;CRB;;;;;;
Comercial-MS;;;;;Sergipe: Confiança e Sergipe.;;;;;;CFA Rondônia;Remo;;;;Paraíba (2): Botafogo-PB e Atlético Cajazeirense.;;;;;; Goiás;CRAC;;;; Amapá;São José-AP;;;;;;
Corinthians;;;;;Maranhão: Moto Club e Sampaio Corrêa.;;;;;;CFZ de Brasília;Rio Branco;;;;Maranhão (2): Sampaio Corrêa e Maranhão.;;;;;;;Vila Nova;;;; Amazonas;Nacional-AM;;;;;;
Coritiba;;;;;Piauí: Flamengo-PI e River.;;;;;;Comercial;Rio Branco-ES;;;;Sergipe (2): Sergipe e Confiança.;;;;;; Maranhão;Moto Club;;;;;Grêmio Coariense;;;;;;
CSA;;;;;Paraíba: Botafogo-PB e Treze. [1, 2, 3, 4, 5];;;;;;Confiança;River;;;;Piauí (2): Flamengo-PI e Parnahyba. [, 2, 3, 4, 5];;;;;;;Sampaio Corrêa;;;; Bahia;Bahia;;;;;;
Desportiva Ferroviária;;;;;Região Centro-Oeste;;;;;;Corinthians-AL;Sampaio Corrêa;;;;Região Centro-Oeste;;;;;; Mato Grosso;Cuiabá;;;;;Vitória;;;;;;
Figueirense;;;;;Distrito Federal: Bandeirante-DF, Brasiliense e Gama.;;;;;;Coríntians de Caicó;Santa Cruz;;;;Goiás (3): Goiás, Vila Nova e Novo Horizonte.;;;;;;;União Rondonópolis;;;; Ceará;Fortaleza;;;;;;
Flamengo;;;;;Goiás: Goiás, Vila Nova e Anapolina.;;;;;;Coritiba;São Caetano;;;;Distrito Federal (2): Gama e Brasiliense.;;;;;; Mato Grosso do Sul;CENE;;;;;Icasa;;;;;;
Flamengo-PI;;;;;Mato Grosso do Sul: CENE e Comercial-MS.;;;;;;Criciúma;São Paulo;;;;Mato Grosso (2): Cuiabá e Barra do Garças.;;;;;;;Chapadão do Sul;;;; Distrito Federal;Brasiliense;;;;;;
Fluminense;;;;;Mato Grosso: Juventude-MT. [1, 2];;;;;;CRB;São Raimundo-AM;;;;Mato Grosso do Sul (2): SERC Chapadão e CENE. [1, 2, 3, 5];;;;;; Minas Gerais;Atlético Mineiro;;;;;Ceilândia;;;;;;
Fortaleza;;;;;Região Norte;;;;;;Cruzeiro;Sport;;;;Região Norte;;;;;;;América Mineiro;;;; Espírito Santo;Serra;;;;;;
Gama;;;;;Amazonas: Nacional-AM e São Raimundo-AM.;;;;;;Dom Bosco;Tocantinópolis;;;;Amazonas (2): Nacional-AM e Rio Negro.;;;;;;;Caldense;;;; Goiás;Mineiros;;;;;;
Goiânia;;;;;Pará: Paysandu.;;;;;;Figueirense;Tuna Luso;;;;Pará (2): Remo e Tuna Luso.;;;;;;;Cruzeiro;;;;;Vila Nova;;;;;;
Goiás;;;;;Acre: Rio Negro-AC e Vasco-AC.;;;;;;Flamengo-PI;Vasco da Gama;;;;Acre (1): Rio Branco-AC.;;;;;;;Ipatinga;;;; Maranhão;Imperatriz;;;;;;
Grêmio;;;;;Amapá: Independente-AP.;;;;;;Flamengo;Vila Nova;;;;Rondônia (1): União Cacoalense.;;;;;; Pará;Paysandu;;;;;Moto Club;;;;;;
Guajará;;;;;Rondônia: Ji-Paraná.;;;;;;Fluminense;Vitória;;;;Roraima (1): Atlético Roraima.;;;;;;;Remo;;;; Mato Grosso;Vila Aurora;;;;;;
Guarani;;;;;Roraima: Atlético-RR.;;;;;;Fluminense;Ypiranga;;;;Amapá (1): Ypiranga-AP.;;;;;; Paraíba;Campinense;;;;;Operário FC;;;;;;
Joinville;;;;;Tocantins: Palmas;;;;;;Fortaleza;;;;;Tocantins (1): Palmas;;;;;;;Treze;;;; Mato Grosso do Sul;CENE;;;;;;
Juventude;;;;;;;;;;;Gama;;;;;;;;;;; Paraná;Cianorte;;;;;Operário-MS;;;;;;
Juventude-MT;;;;;;;;;;;Goiás;;;;;;;;;;;;Coritiba;;;; Minas Gerais;URT;;;;;;
Lagartense;;;;;;;;;;;;;;;;;;;;;;;Londrina;;;;;Ipatinga;;;;;;
Malutrom;;;;;;;;;;;;;;;;;;;;;; Pernambuco;Náutico;;;; Pará;Remo;;;;;;
Mixto;;;;;;;;;;;;;;;;;;;;;;;Santa Cruz;;;;;Paysandu;;;;;;
Moto Club;;;;;;;;;;;;;;;;;;;;;; Piauí;4 de Julho;;;; Paraíba;Treze;;;;;;
Nacional-AM;;;;;;;;;;;;;;;;;;;;;;;River-PI;;;;;Botafogo-PB;;;;;;
Náutico;;;;;;;;;;;;;;;;;;;;;; Rio de Janeiro;América-RJ;;;; Paraná;Atlético Paranaense;;;;;;
Operário-MS;;;;;;;;;;;;;;;;;;;;;;;Americano;;;;;Londrina;;;;;;
Palmas;;;;;;;;;;;;;;;;;;;;;;;Botafogo;;;;;Iraty;;;;;;
Paysandu;;;;;;;;;;;;;;;;;;;;;;;Flamengo;;;; Pernambuco;Santa Cruz;;;;;;
Ponte Preta;;;;;;;;;;;;;;;;;;;;;;;Fluminense;;;;;Náutico;;;;;;
Remo;;;;;;;;;;;;;;;;;;;;;;;Friburguense;;;; Piauí;Piauí;;;;;;
Rio Branco-AC;;;;;;;;;;;;;;;;;;;;;;;Vasco da Gama;;;;;Parnahyba;;;;;;
Rio Negro-RR;;;;;;;;;;;;;;;;;;;;;; Rio Grande do Norte;Baraúnas;;;; Rio de Janeiro;Americano;;;;;;
River-PI;;;;;;;;;;;;;;;;;;;;;;;Potiguar;;;;;Cabofriense;;;;;;
Sampaio Corrêa;;;;;;;;;;;;;;;;;;;;;; Rio Grande do Sul;Esportivo;;;;;Volta Redonda;;;;;;
Santa Cruz;;;;;;;;;;;;;;;;;;;;;;;Grêmio;;;; Rio Grande do Norte;Potiguar de Mossoró;;;;;;
Santos;;;;;;;;;;;;;;;;;;;;;;;Internacional;;;;;ABC;;;;;;
Santos-AP;;;;;;;;;;;;;;;;;;;;;;;Juventude;;;; Rio Grande do Sul;15 de Novembro;;;;;;
São Paulo;;;;;;;;;;;;;;;;;;;;;;;Ulbra;;;; Rondônia;Vilhena;;;;;;
São Raimundo-AM;;;;;;;;;;;;;;;;;;;;;; Rondônia;União Cacoalense;;;; Roraima;São Raimundo-RR;;;;;;
Sergipe;;;;;;;;;;;;;;;;;;;;;; Roraima;São Raimundo;;;; Santa Catarina;Atlético de Ibirama;;;;;;
Sport;;;;;;;;;;;;;;;;;;;;;; Santa Catarina;Figueirense;;;;;Criciúma;;;;;;
Treze;;;;;;;;;;;;;;;;;;;;;;;Hermann Aichinger;;;; São Paulo;São Caetano;;;;;;
URT;;;;;;;;;;;;;;;;;;;;;; São Paulo;Corinthians;;;;;Santo André;;;;;;
Vila Nova;;;;;;;;;;;;;;;;;;;;;;;Guarani;;;; Sergipe;Itabaiana;;;;;;
Villa Nova-MG;;;;;;;;;;;;;;;;;;;;;;;Ituano;;;;;Sergipe;;;;;;
Vitória;;;;;;;;;;;;;;;;;;;;;;;Paulista;;;; Tocantins;Colinas;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;São Caetano;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;; Sergipe;Confiança;;;;Classificados por outras competições;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Sergipe;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;; Tocantins;Palmas;;;;UF;Clube;Competição;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;; Espírito Santo;Estrela do Norte;Copa ES;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;; Minas Gerais;América Mineiro;Taça Minas Gerais;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;; São Paulo;Noroeste;Copa Paulista;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;; Rio Grande do Sul;Novo Hamburgo;Copa Emídio Perondi;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ulbra;Copa BIG/Brasil Telecom;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;2008;;;;;;;;;;2009;;;;;;;;;;2010;;;;;;;;
Estado;Equipe;Como se classificou;Colocações finais;;;Estado;Equipe;Como se classificou;Posição;Equipe;Estado;Pontos;Colocações finais;;;Estado;Equipe;Como se classificou;Posição;Equipe;Estado;Pontos;Colocações finais;;;UF;Clube;Forma de classificação;Pos.;Clube;UF;Pontos;Colocações finais;
 Acre;ADESG;Campeão do Estadual 2006;Campeão;Fluminense (1.º título);; Acre;Rio Branco-AC;Campeão do Estadual de 2007;2º;Corinthians; São Paulo;1 938;Campeão;Sport (1.º título);; Acre;Rio Branco;Campeão do Estadual 2008;2º;Corinthians; SP;1.998;Campeão;Corinthians (3.º título);; Acre;Juventus;Campeão do Estadual 2009;11º;Fluminense; RJ;1.658;Campeão;Santos (1.º título)
 Alagoas;Coruripe;Campeão do Estadual 2006;Vice-campeão;Figueirense;; Alagoas;Coruripe;Campeão do Estadual de 2007;3º;Vasco da Gama; Rio de Janeiro;1 928;Vice-campeão;Corinthians;; Alagoas;CSA;Campeão do Estadual 2008;3º;Vasco; RJ;1.981;Vice-campeão;Internacional;; Alagoas;ASA;Campeão do Estadual 2009;14º;Coritiba; PR;1.473;Vice-campeão;Vitória
;CSA;Vice-campeão do Estadual 2006;Estatísticas;;;;Corinthians-AL;Vice-campeão do Estadual de 2007;7º;Palmeiras; São Paulo;1 840;Estatísticas;;;;ASA;Vice-campeão do Estadual 2008;10º;Santos; SP;1.695;Estatísticas;;;;Corinthians Alagoano;Vice-campeão do Estadual 2009;15º;Guarani; SP;1.470;Estatísticas;
 Amapá;São José;Campeão do Estadual 2006;Melhor marcador;5 gols:;; Amapá;Trem;Campeão do Estadual de 2007;8º;Internacional; Rio Grande do Sul;1 803;Melhor marcador;6 gols:[1];; Amapá;Cristal;Campeão do Estadual 2008;11º;Fluminense; RJ;1.608;Melhor marcador;Taison (Internacional) – 7 gols;; Amapá;São José;Campeão do Estadual 2009;17º;Portuguesa; SP;1.366;Melhor marcador;Neymar (Santos) – 11 gols
 Amazonas;São Raimundo-AM;Campeão do Estadual 2006;;André Lima (Botafogo);; Amazonas;Nacional-AM;Campeão do Estadual de 2007;13º;Guarani; São Paulo;1 409;;Edmundo (Vasco da Gama);; Amazonas;Holanda;Campeão do Estadual 2008;13º;Guarani; SP;1.429;Maiores goleadas;Itabaiana 0–5 Atlético Mineiro;; Amazonas;América;Campeão do Estadual 2009;22º;Santa Cruz; PE;1.135;Maior goleada;Santos 10 – 0 Naviraiense
;Fast Clube;Vice-campeão do Estadual 2006;;Dênis Marques (Atlético-PR);;;Fast Clube;Vice-campeão do Estadual de 2007;15º;Coritiba; Paraná;1 365;;Romerito (Sport);;;Fast Clube;Vice-campeão do Estadual 2008;17º;Portuguesa; SP;1.328;(diferença);;;;Nacional;Vice-campeão do Estadual 2009;23º;Paraná; PR;1.044;(diferença);Vila Belmiro, Santos
 Bahia;Colo Colo;Campeão do Estadual 2006;;Victor Simões (Figueirense);; Bahia;Vitória;Campeão do Estadual de 2007;17º;Portuguesa; São Paulo;1 284;;Wellington Paulista (Botafogo);; Bahia;Vitória;Campeão do Estadual 2008;21°;Santa Cruz; PE;1.133;;Ponte Preta 6–1 Vilhena;; Bahia;Vitória;Campeão do Estadual 2009;24º;Ponte Preta; SP;1.038;;10 de março, Primeira fase
;Vitória;Vice-campeão do Estadual 2006;Maiores goleadas;Náutico 6–0 Parnahyba;;;Bahia;Vice-campeão do Estadual de 2007;19º;Atlético Paranaense; Paraná;1 221;Maior goleada;Palmas 0–7 Atlético Mineiro;;;Bahia;Vice-campeão do Estadual 2008;23°;Paraná; PR;1.011;;;;;Bahia;Vice-campeão do Estadual 2009;26º;Juventude; RS;865;Público;917 555 (7 910 por partida)
 Ceará;Ceará;Campeão do Estadual 2006;(diferença);Estádio dos Aflitos, Recife;; Ceará;Fortaleza;Campeão do Estadual de 2007;21°;Santa Cruz; Pernambuco;1 132;(diferença);;; Ceará;Fortaleza;Campeão do Estadual 2008;25º;Ceará; CE;965;;Bahia 6–1 Potiguar de Mossoró;; Ceará;Fortaleza;Campeão do Estadual 2009;27º;Remo; PA;852;Premiações;
;Fortaleza;Vice-campeão do Estadual 2006;;21 de fevereiro, primeira fase;;;Icasa;Vice-campeão do Estadual de 2007;22°;Náutico; Pernambuco;1 084;;;;;Icasa;Vice-campeão do Estadual 2008;30°;América de Natal; RN;677;;;;;Ceará;Vice-campeão do Estadual 2009;29º;América de Natal; RN;703;Melhor jogador;Ganso (Santos)
 Distrito Federal;Brasiliense;Campeão do Metropolitano 2006;;;; Distrito Federal;Brasiliense;Campeão do Metropolitano de 2007;;;;;;;; Distrito Federal;Brasiliense;Campeão do Metropolitano 2008;;;;;;Internacional 5–0 Guarani;; Distrito Federal;Brasiliense;Campeão do Metropolitano 2009;;;;;(CBF);
;Gama;Vice-campeão do Metropolitano 2006;;Fluminense 6–0 ADESG;;;Esportivo Guará;Vice-campeão do Metropolitano de 2007;;;;;;;;;Dom Pedro II;Vice-campeão do Metropolitano 2008;;;;;;;;;Brasília;Vice-campeão do Metropolitano 2009;;;;;;
 Espírito Santo;Vitória;Campeão do Estadual 2006;;Estádio do Maracanã, Rio de Janeiro;; Espírito Santo;Linhares;Campeão do Estadual de 2007;;;;;;;; Espírito Santo;Serra;Campeão do Estadual 2008;;;;;;;; Espírito Santo;São Mateus;Campeão do Estadual 2009;;;;;;
;Vilavelhense;Campeão da Copa Espírito Santo 2006;;28 de fevereiro, primeira fase;;;Jaguaré;Campeão da Copa Espírito Santo de 2007;;;;;;;;;Desportiva;Campeão da Copa Espírito Santo 2008;;;;;;;;;Vitória;Campeão da Copa Espírito Santo 2009;;;;;;
 Goiás;Goiás;Campeão do Estadual 2006;;;; Goiás;Atlético Goianiense;Campeão do Estadual de 2007;;;;;;;; Goiás;Itumbiara;Campeão do Estadual 2008;;;;;;;; Goiás;Goiás;Campeão do Estadual 2009;;;;;;
;Atlético Goianiense;Vice-campeão do Estadual 2006;;Vasco da Gama 6–0 Fast Clube;;;Goiás;Vice-campeão do Estadual de 2007;;;;;;;;;Goiás;Vice-campeão do Estadual 2008;;;;;;;;;Atlético Goianiense;Vice-campeão do Estadual 2009;;;;;;
 Maranhão;Moto Club;Campeão do Estadual 2006;;;; Maranhão;Maranhão;Campeão do Estadual de 2007;;;;;;;; Maranhão;Moto Club;Campeão do Estadual 2008;;;;;;;; Maranhão;JV Lideral;Campeão do Estadual 2009;;;;;;
;Sampaio Corrêa;Vice-campeão do Estadual 2006;;;;;Imperatriz;Vice-campeão do Estadual de 2007;;;;;;;;;Sampaio Corrêa;Vice-campeão do Estadual 2008;;;;;;;;;Sampaio Corrêa;Campeão da Taça Cidade de São Luís 2009;;;;;;
 Mato Grosso;Operário VG;Campeão do Estadual 2006;;;; Mato Grosso;Cacerense;Campeão do Estadual de 2007;;;;;;;; Mato Grosso;Mixto;Campeão do Estadual 2008;;;;;;;; Mato Grosso;Luverdense;Campeão do Estadual 2009;;;;;;
;Barra do Garças;Vice-campeão do Estadual 2006;;;;;Grêmio Jaciara;Vice-campeão do Estadual de 2007;;;;;;;;;União Rondonópolis;Vice-campeão do Estadual 2008;;;;;;;;;Araguaia;Vice-campeão do Estadual 2009;;;;;;
 Mato Grosso do Sul;Coxim;Campeão do Estadual 2006;;;; Mato Grosso do Sul;Águia Negra;Campeão do Estadual de 2007;;;;;;;; Mato Grosso do Sul;Ivinhema;Campeão do Estadual 2008;;;;;;;; Mato Grosso do Sul;Naviraiense;Campeão do Estadual 2009;;;;;;
;Chapadão;Vice-campeão do Estadual 2006;;;;;CENE;Vice-campeão do Estadual de 2007;;;;;;;;;Misto;Vice-campeão do Estadual 2008;;;;;;;;;Ivinhema;Vice-campeão do Estadual 2009;;;;;;
 Minas Gerais;Cruzeiro;Campeão do Estadual 2006;;;; Minas Gerais¹;Atlético Mineiro;Campeão do Estadual de 2007;;;;;;;; Minas Gerais;Atlético Mineiro;Vice-campeão do Estadual 2008;;;;;;;; Minas Gerais;Atlético Mineiro;Vice-campeão do Estadual 2009;;;;;;
;Ipatinga;Vice-campeão do Estadual 2006;;;;;Democrata GV;3º colocado do Estadual de 2007;;;;;;;;;Tupi (7);3° colocado do Estadual 2008;;;;;;;;;Ituiutaba;3º colocado do Estadual 2009;;;;;;
;Villa Nova;Campeão da Taça Minas Gerais 2006;;;;;Ituiutaba;Campeão da Taça Minas Gerais de 2007;;;;;;;;;América (5);Vice-campeão da Taça Minas Gerais 2008;;;;;;;;;Uberaba;Campeão da Taça Minas Gerais 2009;;;;;;
 Pará;Paysandu;Campeão do Estadual 2006;;;; Pará;Remo;Campeão do Estadual de 2007;;;;;;;; Pará;Remo;Campeão do Estadual 2008;;;;;;;; Pará;Paysandu;Campeão do Estadual 2009;;;;;;
;Ananindeua;Vice-campeão do Estadual 2006;;;;;Tuna Luso;Vice-campeão do Estadual de 2007;;;;;;;;;Águia de Marabá;Vice-campeão do Estadual 2008;;;;;;;;;São Raimundo;Vice-campeão do Estadual 2009;;;;;;
 Paraíba[5];Treze;Campeão do Estadual 2006;;;; Paraíba²;Nacional de Patos;Campeão do Estadual de 2007;;;;;;;; Paraíba;Campinense;Campeão do Estadual 2008;;;;;;;; Paraíba;Sousa;Campeão do Estadual 2009;;;;;;
;Campinense;4º colocado do Estadual 2006;;;;;Sousa;3º colocado do Estadual de 2007;;;;;;;;;Nacional de Patos;Campeão da Copa Paraíba 2008;;;;;;;;;Treze;Campeão da Copa Paraíba 2009;;;;;;
 Paraná[6];ADAP Galo Maringá;Vice-campeão do Estadual 2006;;;; Paraná;Paranavaí;Campeão do Estadual de 2007;;;;;;;; Paraná;Coritiba;Campeão do Estadual 2008;;;;;;;; Paraná;Atlético Paranaense;Campeão do Estadual 2009;;;;;;
;Coritiba;3º colocado do Estadual 2006;;;;;Paraná;Vice-campeão do Estadual de 2007;;;;;;;;;Atlético Paranaense;Vice-campeão do Estadual 2008;;;;;;;;;Corinthians Paranaense;Vice-campeão do Estadual 2009;;;;;;
;Rio Branco-PR;4º colocado do estadual 2006;;;;;Roma Apucarana;Campeão da Copa dos 100 Anos;;;;;;;;;J. Malucelli;Campeão da Copa Paraná 2007;;;;;;;;;Londrina;Campeão da Copa Paraná 2009;;;;;;
 Pernambuco;Sport;Campeão do Estadual 2006;;;; Pernambuco;Sport;Campeão do Estadual de 2007;;;;;;;; Pernambuco;Náutico;Vice-campeão do Estadual 2008;;;;;;;; Pernambuco;Sport;Campeão do Estadual 2009;;;;;;
;Santa Cruz;Vice-campeão do Estadual 2006;;;;;Central;Vice-campeão do Estadual de 2007;;;;;;;;;Central (1);3° colocado do Estadual 2008;;;;;;;;;Náutico;Vice-campeão do Estadual 2009;;;;;;
 Piauí;Barras;Campeão do Estadual 2006;;;; Piauí;River-PI;Campeão do Estadual de 2007;;;;;;;; Piauí;Barras;Campeão do Estadual 2008;;;;;;;; Piauí;Flamengo;Campeão do Estadual 2009;;;;;;
;Parnahyba;Vice-campeão do Estadual 2006;;;;;Barras;Campeão da Copa Piauí de 2007;;;;;;;;;Flamengo;Campeão da Copa Piauí 2008;;;;;;;;;Picos;Vice-campeão da Copa Piauí 2009;;;;;;
 Rio de Janeiro;Botafogo;Campeão do Estadual 2006;;;; Rio de Janeiro³;Botafogo;Vice-campeão do Estadual de 2007;;;;;;;; Rio de Janeiro;Flamengo;Campeão do Estadual 2008;;;;;;;; Rio de Janeiro;Botafogo;Vice-campeão do Estadual 2009;;;;;;
;Madureira;Vice-campeão do Estadual 2006;;;;;Madureira;3º colocado do Estadual de 2007;;;;;;;;;Botafogo;Vice-campeão do Estadual 2008;;;;;;;;;Vasco da Gama;3º colocado do Estadual 2009;;;;;;
;America;3º colocado do estadual 2006;;;;;Volta Redonda;Campeão da Copa Rio de 2007;;;;;;;;;Americano (4);Vice-Campeão da Copa Rio 2008;;;;;;;;;Tigres do Brasil;Campeão da Copa Rio 2009;;;;;;
 Rio Grande do Norte;Baraúnas;Campeão do Estadual 2006;;;; Rio Grande do Norte;ABC;Campeão do Estadual de 2007;;;;;;;; Rio Grande do Norte;ABC;Campeão do Estadual 2008;;;;;;;; Rio Grande do Norte;ASSU;Campeão do Estadual 2009;;;;;;
;América de Natal;Campeão da Copa RN 2006;;;;;Baraúnas;Campeão da Copa RN de 2007;;;;;;;;;Potiguar de Mossoró;Vice-campeão do Estadual 2008;;;;;;;;;Potyguar Seridoense;Vice-campeão do Estadual 2009;;;;;;
 Rio Grande do Sul[7];Juventude;3º colocado do Estadual 2006;;;; Rio Grande do Sul;Grêmio;Campeão do Estadual de 2007;;;;;;;; Rio Grande do Sul;Internacional;Campeão do Estadual 2008;;;;;;;; Rio Grande do Sul;Grêmio;Vice-campeão do Estadual 2009;;;;;;
;Caxias;4º colocado do Estadual 2006;;;;;Juventude;Vice-campeão do Estadual de 2007;;;;;;;;;Juventude;Vice-campeão do Estadual 2008;;;;;;;;;Ypiranga de Erechim;3º colocado do Estadual 2009;;;;;;
;Veranópolis;5º colocado do Estadual 2006;;;;;Ulbra;Vice-campeão da Copa FGF de 2007;;;;;;;;;Caxias;Campeão da Copa FGF 2008;;;;;;;;;Cerâmica;Vice-campeão da Copa FGF 2008;;;;;;
 Rondônia;Ulbra;Campeão do Estadual 2006;;;; Rondônia;Ulbra-RO;Campeão do Estadual de 2007;;;;;;;; Rondônia;Vilhena (2);Vice-campeão do Estadual 2008;;;;;;;; Rondônia;Vilhena;Campeão do Estadual 2009;;;;;;
 Roraima;Baré;Campeão do Estadual 2006;;;; Roraima;Atlético Roraima;Campeão do Estadual de 2007;;;;;;;; Roraima;Atlético Roraima;Campeão do Estadual 2008;;;;;;;; Roraima;Atlético Roraima;Campeão do Estadual 2009;;;;;;
 São Paulo[8];Palmeiras;3º colocado do Estadual 2006;;;; São Paulo4;São Caetano;Vice-campeão do Estadual de 2007;;;;;;;; São Paulo;Ponte Preta;Vice-Campeão do Estadual 2008;;;;;;;; São Paulo;Santos;Vice-campeão do Estadual 2009;;;;;;
;Noroeste;4º colocado do Estadual 2006;;;;;Bragantino;4º colocado do Estadual de 2007;;;;;;;;;Guaratinguetá (6);4° colocado do Estadual 2008;;;;;;;;;Palmeiras;3º colocado do Estadual 2009;;;;;;
;Ferroviária;Campeão da Copa FPF 2006;;;;;Juventus-SP;Campeão da Copa FPF de 2007;;;;;;;;;Atlético Sorocaba;Campeão da Copa Paulista 2008;;;;;;;;;Votoraty;Campeão da Copa Paulista 2009;;;;;;
 Santa Catarina;Figueirense;Campeão do Estadual 2006;;;; Santa Catarina;Chapecoense;Campeão do Estadual de 2007;;;;;;;; Santa Catarina;Figueirense;Campeão do Estadual 2008;;;;;;;; Santa Catarina;Avaí;Campeão do Estadual 2009;;;;;;
;Avaí;Campeão do Torneio Seletivo;;;;;Criciúma;Vice-campeão do Estadual de 2007;;;;;;;;;Criciúma;Vice-Campeão do Estadual 2008;;;;;;;;;Chapecoense;Vice-campeão do Estadual 2009;;;;;;
 Sergipe;Pirambu;Campeão do Estadual 2006;;;; Sergipe;América de Propriá;Campeão do Estadual de 2007;;;;;;;; Sergipe;Confiança;Campeão do Estadual 2008;;;;;;;; Sergipe;Confiança;Campeão do Estadual 2009;;;;;;
;Itabaiana;Campeão da Copa Governo do Estado de Sergipe 2006;;;;;Itabaiana;Campeão da Copa Governo do Estado de Sergipe de 2007;;;;;;;;;Itabaiana (3);Vice-campeão da Copa Governo do Estado de Sergipe 2008;;;;;;;;;São Domingos;Campeão da Copa Governo de Sergipe 2009;;;;;;
 Tocantins;Araguaína;Campeão do Estadual 2006;;;; Tocantins;Palmas;Campeão do Estadual de 2007;;;;;;;; Tocantins;Tocantins;Campeão do Estadual 2008;;;;;;;; Tocantins;Araguaína;Campeão do Estadual 2009;;;;;;
Posição;Equipe;Estado;Pontos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2º;Corinthians;SP;1.891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3º;Vasco da Gama;RJ;1.875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
